Year,season,MCPP,PredictedCrimeCount,Year_season
2024,Spring,ALASKA JUNCTION,321,2024_Spring
2024,Spring,ALKI,106,2024_Spring
2024,Spring,BALLARD NORTH,345,2024_Spring
2024,Spring,BALLARD SOUTH,696,2024_Spring
2024,Spring,BELLTOWN,377,2024_Spring
2024,Spring,BITTERLAKE,385,2024_Spring
2024,Spring,BRIGHTON/DUNLAP,231,2024_Spring
2024,Spring,CAPITOL HILL,1147,2024_Spring
2024,Spring,CENTRAL AREA/SQUIRE PARK,520,2024_Spring
2024,Spring,CHINATOWN/INTERNATIONAL DISTRICT,497,2024_Spring
2024,Spring,CLAREMONT/RAINIER VISTA,136,2024_Spring
2024,Spring,COLUMBIA CITY,106,2024_Spring
2024,Spring,COMMERCIAL DUWAMISH,21,2024_Spring
2024,Spring,COMMERCIAL HARBOR ISLAND,9,2024_Spring
2024,Spring,DOWNTOWN COMMERCIAL,1045,2024_Spring
2024,Spring,EASTLAKE - EAST,36,2024_Spring
2024,Spring,EASTLAKE - WEST,141,2024_Spring
2024,Spring,FAUNTLEROY SW,80,2024_Spring
2024,Spring,FIRST HILL,611,2024_Spring
2024,Spring,FREMONT,354,2024_Spring
2024,Spring,GENESEE,72,2024_Spring
2024,Spring,GEORGETOWN,309,2024_Spring
2024,Spring,GREENWOOD,322,2024_Spring
2024,Spring,HIGH POINT,166,2024_Spring
2024,Spring,HIGHLAND PARK,190,2024_Spring
2024,Spring,HILLMAN CITY,62,2024_Spring
2024,Spring,JUDKINS PARK/NORTH BEACON HILL,219,2024_Spring
2024,Spring,LAKECITY,547,2024_Spring
2024,Spring,LAKEWOOD/SEWARD PARK,93,2024_Spring
2024,Spring,MADISON PARK,68,2024_Spring
2024,Spring,MADRONA/LESCHI,205,2024_Spring
2024,Spring,MAGNOLIA,353,2024_Spring
2024,Spring,MID BEACON HILL,166,2024_Spring
2024,Spring,MILLER PARK,158,2024_Spring
2024,Spring,MONTLAKE/PORTAGE BAY,147,2024_Spring
2024,Spring,MORGAN,160,2024_Spring
2024,Spring,MOUNT BAKER,309,2024_Spring
2024,Spring,NEW HOLLY,119,2024_Spring
2024,Spring,NORTH ADMIRAL,213,2024_Spring
2024,Spring,NORTH BEACON HILL,356,2024_Spring
2024,Spring,NORTH DELRIDGE,170,2024_Spring
2024,Spring,NORTHGATE,1020,2024_Spring
2024,Spring,PHINNEY RIDGE,164,2024_Spring
2024,Spring,PIGEON POINT,34,2024_Spring
2024,Spring,PIONEER SQUARE,220,2024_Spring
2024,Spring,QUEEN ANNE,1079,2024_Spring
2024,Spring,RAINIER BEACH,153,2024_Spring
2024,Spring,RAINIER VIEW,114,2024_Spring
2024,Spring,ROOSEVELT/RAVENNA,845,2024_Spring
2024,Spring,ROXHILL/WESTWOOD/ARBOR HEIGHTS,296,2024_Spring
2024,Spring,SANDPOINT,377,2024_Spring
2024,Spring,SLU/CASCADE,838,2024_Spring
2024,Spring,SODO,337,2024_Spring
2024,Spring,SOUTH BEACON HILL,62,2024_Spring
2024,Spring,SOUTH DELRIDGE,90,2024_Spring
2024,Spring,SOUTH PARK,135,2024_Spring
2024,Spring,UNIVERSITY,739,2024_Spring
2024,Spring,UNKNOWN,367,2024_Spring
2024,Spring,WALLINGFORD,433,2024_Spring
2024,Spring,<Null>,133,2024_Spring
2024,Summer,ALASKA JUNCTION,308,2024_Summer
2024,Summer,ALKI,120,2024_Summer
2024,Summer,BALLARD NORTH,328,2024_Summer
2024,Summer,BALLARD SOUTH,695,2024_Summer
2024,Summer,BELLTOWN,417,2024_Summer
2024,Summer,BITTERLAKE,379,2024_Summer
2024,Summer,BRIGHTON/DUNLAP,227,2024_Summer
2024,Summer,CAPITOL HILL,1251,2024_Summer
2024,Summer,CENTRAL AREA/SQUIRE PARK,480,2024_Summer
2024,Summer,CHINATOWN/INTERNATIONAL DISTRICT,487,2024_Summer
2024,Summer,CLAREMONT/RAINIER VISTA,148,2024_Summer
2024,Summer,COLUMBIA CITY,105,2024_Summer
2024,Summer,COMMERCIAL DUWAMISH,22,2024_Summer
2024,Summer,COMMERCIAL HARBOR ISLAND,12,2024_Summer
2024,Summer,DOWNTOWN COMMERCIAL,1143,2024_Summer
2024,Summer,EASTLAKE - EAST,37,2024_Summer
2024,Summer,EASTLAKE - WEST,153,2024_Summer
2024,Summer,FAUNTLEROY SW,63,2024_Summer
2024,Summer,FIRST HILL,587,2024_Summer
2024,Summer,FREMONT,353,2024_Summer
2024,Summer,GENESEE,61,2024_Summer
2024,Summer,GEORGETOWN,313,2024_Summer
2024,Summer,GREENWOOD,322,2024_Summer
2024,Summer,HIGH POINT,163,2024_Summer
2024,Summer,HIGHLAND PARK,206,2024_Summer
2024,Summer,HILLMAN CITY,74,2024_Summer
2024,Summer,JUDKINS PARK/NORTH BEACON HILL,236,2024_Summer
2024,Summer,LAKECITY,500,2024_Summer
2024,Summer,LAKEWOOD/SEWARD PARK,69,2024_Summer
2024,Summer,MADISON PARK,62,2024_Summer
2024,Summer,MADRONA/LESCHI,245,2024_Summer
2024,Summer,MAGNOLIA,274,2024_Summer
2024,Summer,MID BEACON HILL,171,2024_Summer
2024,Summer,MILLER PARK,149,2024_Summer
2024,Summer,MONTLAKE/PORTAGE BAY,117,2024_Summer
2024,Summer,MORGAN,150,2024_Summer
2024,Summer,MOUNT BAKER,319,2024_Summer
2024,Summer,NEW HOLLY,135,2024_Summer
2024,Summer,NORTH ADMIRAL,185,2024_Summer
2024,Summer,NORTH BEACON HILL,389,2024_Summer
2024,Summer,NORTH DELRIDGE,154,2024_Summer
2024,Summer,NORTHGATE,1019,2024_Summer
2024,Summer,PHINNEY RIDGE,109,2024_Summer
2024,Summer,PIGEON POINT,34,2024_Summer
2024,Summer,PIONEER SQUARE,251,2024_Summer
2024,Summer,QUEEN ANNE,1109,2024_Summer
2024,Summer,RAINIER BEACH,177,2024_Summer
2024,Summer,RAINIER VIEW,96,2024_Summer
2024,Summer,ROOSEVELT/RAVENNA,750,2024_Summer
2024,Summer,ROXHILL/WESTWOOD/ARBOR HEIGHTS,295,2024_Summer
2024,Summer,SANDPOINT,394,2024_Summer
2024,Summer,SLU/CASCADE,885,2024_Summer
2024,Summer,SODO,333,2024_Summer
2024,Summer,SOUTH BEACON HILL,69,2024_Summer
2024,Summer,SOUTH DELRIDGE,90,2024_Summer
2024,Summer,SOUTH PARK,147,2024_Summer
2024,Summer,UNIVERSITY,728,2024_Summer
2024,Summer,UNKNOWN,352,2024_Summer
2024,Summer,WALLINGFORD,367,2024_Summer
2024,Summer,<Null>,139,2024_Summer
2024,Fall,ALASKA JUNCTION,333,2024_Fall
2024,Fall,ALKI,98,2024_Fall
2024,Fall,BALLARD NORTH,314,2024_Fall
2024,Fall,BALLARD SOUTH,744,2024_Fall
2024,Fall,BELLTOWN,437,2024_Fall
2024,Fall,BITTERLAKE,363,2024_Fall
2024,Fall,BRIGHTON/DUNLAP,219,2024_Fall
2024,Fall,CAPITOL HILL,1145,2024_Fall
2024,Fall,CENTRAL AREA/SQUIRE PARK,510,2024_Fall
2024,Fall,CHINATOWN/INTERNATIONAL DISTRICT,591,2024_Fall
2024,Fall,CLAREMONT/RAINIER VISTA,133,2024_Fall
2024,Fall,COLUMBIA CITY,106,2024_Fall
2024,Fall,COMMERCIAL DUWAMISH,17,2024_Fall
2024,Fall,COMMERCIAL HARBOR ISLAND,9,2024_Fall
2024,Fall,DOWNTOWN COMMERCIAL,1015,2024_Fall
2024,Fall,EASTLAKE - EAST,34,2024_Fall
2024,Fall,EASTLAKE - WEST,139,2024_Fall
2024,Fall,FAUNTLEROY SW,71,2024_Fall
2024,Fall,FIRST HILL,586,2024_Fall
2024,Fall,FREMONT,347,2024_Fall
2024,Fall,GENESEE,73,2024_Fall
2024,Fall,GEORGETOWN,334,2024_Fall
2024,Fall,GREENWOOD,357,2024_Fall
2024,Fall,HIGH POINT,148,2024_Fall
2024,Fall,HIGHLAND PARK,204,2024_Fall
2024,Fall,HILLMAN CITY,79,2024_Fall
2024,Fall,JUDKINS PARK/NORTH BEACON HILL,236,2024_Fall
2024,Fall,LAKECITY,474,2024_Fall
2024,Fall,LAKEWOOD/SEWARD PARK,67,2024_Fall
2024,Fall,MADISON PARK,45,2024_Fall
2024,Fall,MADRONA/LESCHI,222,2024_Fall
2024,Fall,MAGNOLIA,240,2024_Fall
2024,Fall,MID BEACON HILL,158,2024_Fall
2024,Fall,MILLER PARK,138,2024_Fall
2024,Fall,MONTLAKE/PORTAGE BAY,120,2024_Fall
2024,Fall,MORGAN,152,2024_Fall
2024,Fall,MOUNT BAKER,303,2024_Fall
2024,Fall,NEW HOLLY,125,2024_Fall
2024,Fall,NORTH ADMIRAL,165,2024_Fall
2024,Fall,NORTH BEACON HILL,390,2024_Fall
2024,Fall,NORTH DELRIDGE,152,2024_Fall
2024,Fall,NORTHGATE,1053,2024_Fall
2024,Fall,PHINNEY RIDGE,118,2024_Fall
2024,Fall,PIGEON POINT,31,2024_Fall
2024,Fall,PIONEER SQUARE,261,2024_Fall
2024,Fall,QUEEN ANNE,1115,2024_Fall
2024,Fall,RAINIER BEACH,156,2024_Fall
2024,Fall,RAINIER VIEW,110,2024_Fall
2024,Fall,ROOSEVELT/RAVENNA,776,2024_Fall
2024,Fall,ROXHILL/WESTWOOD/ARBOR HEIGHTS,279,2024_Fall
2024,Fall,SANDPOINT,386,2024_Fall
2024,Fall,SLU/CASCADE,812,2024_Fall
2024,Fall,SODO,403,2024_Fall
2024,Fall,SOUTH BEACON HILL,72,2024_Fall
2024,Fall,SOUTH DELRIDGE,89,2024_Fall
2024,Fall,SOUTH PARK,135,2024_Fall
2024,Fall,UNIVERSITY,847,2024_Fall
2024,Fall,UNKNOWN,368,2024_Fall
2024,Fall,WALLINGFORD,370,2024_Fall
2024,Fall,<Null>,129,2024_Fall
2024,Winter,ALASKA JUNCTION,336,2024_Winter
2024,Winter,ALKI,80,2024_Winter
2024,Winter,BALLARD NORTH,309,2024_Winter
2024,Winter,BALLARD SOUTH,695,2024_Winter
2024,Winter,BELLTOWN,391,2024_Winter
2024,Winter,BITTERLAKE,361,2024_Winter
2024,Winter,BRIGHTON/DUNLAP,220,2024_Winter
2024,Winter,CAPITOL HILL,1021,2024_Winter
2024,Winter,CENTRAL AREA/SQUIRE PARK,499,2024_Winter
2024,Winter,CHINATOWN/INTERNATIONAL DISTRICT,532,2024_Winter
2024,Winter,CLAREMONT/RAINIER VISTA,112,2024_Winter
2024,Winter,COLUMBIA CITY,103,2024_Winter
2024,Winter,COMMERCIAL DUWAMISH,15,2024_Winter
2024,Winter,COMMERCIAL HARBOR ISLAND,9,2024_Winter
2024,Winter,DOWNTOWN COMMERCIAL,1124,2024_Winter
2024,Winter,EASTLAKE - EAST,29,2024_Winter
2024,Winter,EASTLAKE - WEST,129,2024_Winter
2024,Winter,FAUNTLEROY SW,68,2024_Winter
2024,Winter,FIRST HILL,579,2024_Winter
2024,Winter,FREMONT,361,2024_Winter
2024,Winter,GENESEE,60,2024_Winter
2024,Winter,GEORGETOWN,288,2024_Winter
2024,Winter,GREENWOOD,307,2024_Winter
2024,Winter,HIGH POINT,159,2024_Winter
2024,Winter,HIGHLAND PARK,201,2024_Winter
2024,Winter,HILLMAN CITY,69,2024_Winter
2024,Winter,JUDKINS PARK/NORTH BEACON HILL,216,2024_Winter
2024,Winter,LAKECITY,478,2024_Winter
2024,Winter,LAKEWOOD/SEWARD PARK,58,2024_Winter
2024,Winter,MADISON PARK,70,2024_Winter
2024,Winter,MADRONA/LESCHI,211,2024_Winter
2024,Winter,MAGNOLIA,278,2024_Winter
2024,Winter,MID BEACON HILL,175,2024_Winter
2024,Winter,MILLER PARK,114,2024_Winter
2024,Winter,MONTLAKE/PORTAGE BAY,126,2024_Winter
2024,Winter,MORGAN,146,2024_Winter
2024,Winter,MOUNT BAKER,281,2024_Winter
2024,Winter,NEW HOLLY,97,2024_Winter
2024,Winter,NORTH ADMIRAL,184,2024_Winter
2024,Winter,NORTH BEACON HILL,335,2024_Winter
2024,Winter,NORTH DELRIDGE,151,2024_Winter
2024,Winter,NORTHGATE,1018,2024_Winter
2024,Winter,PHINNEY RIDGE,136,2024_Winter
2024,Winter,PIGEON POINT,35,2024_Winter
2024,Winter,PIONEER SQUARE,215,2024_Winter
2024,Winter,QUEEN ANNE,1092,2024_Winter
2024,Winter,RAINIER BEACH,151,2024_Winter
2024,Winter,RAINIER VIEW,98,2024_Winter
2024,Winter,ROOSEVELT/RAVENNA,729,2024_Winter
2024,Winter,ROXHILL/WESTWOOD/ARBOR HEIGHTS,291,2024_Winter
2024,Winter,SANDPOINT,381,2024_Winter
2024,Winter,SLU/CASCADE,804,2024_Winter
2024,Winter,SODO,334,2024_Winter
2024,Winter,SOUTH BEACON HILL,70,2024_Winter
2024,Winter,SOUTH DELRIDGE,82,2024_Winter
2024,Winter,SOUTH PARK,124,2024_Winter
2024,Winter,UNIVERSITY,721,2024_Winter
2024,Winter,UNKNOWN,233,2024_Winter
2024,Winter,WALLINGFORD,396,2024_Winter
2024,Winter,<Null>,114,2024_Winter
